Reference,Quantity,Identifier,Package,Value
"U2","1","","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm","PIC18F26K83-I/SS"
"J1","1","","mb_special:USB_B","USB_B"
"U3","1","","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm","FT245RL"
"U5","1","","mb_special:ISO1050DUB","ISO1050DUB"
"FL1","1","","mb_special:B82790","B82790S0513N201"
"R2","1","","Resistors_SMD:R_0805","BLM21PG300SN1D"
"C6;C8","2","","Capacitors_SMD:C_0805","22p"
"C3","1","","Capacitors_SMD:C_0805","10n"
"C1;C18;C19","3","","Capacitors_SMD:C_0805","1n"
"R1;R10","2","","Resistors_SMD:R_0805","1M"
"R5;R3","2","","Resistors_SMD:R_0805","10k"
"D2;D3","2","","TO_SOT_Packages_SMD:SOT-23","ESD24VS2U"
"C9;C13;C7;C2;C16;C15;C11;C14;C5","9","","Capacitors_SMD:C_0805","100n"
"C10;C4","2","","Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Reflow","10u/10V"
"U4","1","","mb_special:SBT01","SBT01L-05"
"C17;C12","2","","Capacitors_Tantalum_SMD:CP_Tantalum_Case-B_EIA-3528-21_Reflow","47u/10V"
"R4","1","","Resistors_SMD:R_0805","100R"
"D1","1","","mb_special:L-934EB2","L-934EB/2GD"
"R6;R7","2","","Resistors_SMD:R_0805","330R"
"R8;R9","2","","Resistors_SMD:R_1206","68R"
"U1","1","","TO_SOT_Packages_SMD:SOT-23-6","USBLC6-2SC6"
"J2","1","","Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm","GOLDPIN_1x5"
"Y1","1","","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm","16MHz"
"SW1","1","","Buttons_Switches_THT:SW_DIP_x2_W7.62mm_Piano","SW_DIP_x02"
"J5","1","","Connectors_DSub:DSUB-9_Male_Horizontal_Pitch2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","DB9_Male"
